"","negative","positive","neg_positive","neg_negative"
"text1",0,1,0,0
"text2",0,0,0,0
"text3",0,0,0,0
"text4",0,1,0,0
"text5",0,0,0,0
"text6",0,0,0,0
"text7",0,1,0,0
"text8",0,0,0,0
"text9",0,1,0,0
"text10",0,1,0,0
"text11",0,0,0,0
"text12",0,1,0,0
"text13",0,1,0,0
"text14",0,0,0,0
"text15",0,0,0,0
"text16",0,0,0,0
"text17",0,1,0,0
"text18",0,0,0,0
"text19",0,0,0,0
"text20",0,1,0,0
"text21",1,0,0,0
"text22",0,0,0,0
"text23",0,0,0,0
"text24",0,0,0,0
"text25",0,0,0,0
"text26",0,0,0,0
"text27",0,0,0,0
"text28",0,0,0,0
"text29",0,3,0,0
"text30",0,0,0,0
"text31",0,0,0,0
"text32",1,0,0,0
"text33",0,0,0,0
"text34",0,1,0,0
"text35",0,0,0,0
"text36",1,0,0,0
"text37",1,0,0,0
"text38",0,0,0,0
"text39",0,1,0,0
"text40",0,0,0,0
"text41",0,1,0,0
"text42",0,0,0,0
"text43",0,1,0,0
"text44",0,0,0,0
"text45",0,0,0,0
"text46",0,0,0,0
"text47",0,0,0,0
"text48",0,0,0,0
"text49",0,0,0,0
"text50",0,0,0,0
"text51",0,0,0,0
"text52",0,0,0,0
"text53",0,0,0,0
"text54",0,1,0,0
"text55",0,0,0,0
"text56",0,0,0,0
"text57",0,0,0,0
"text58",0,0,0,0
"text59",0,0,0,0
"text60",0,0,0,0
"text61",0,0,0,0
"text62",1,0,0,0
"text63",0,1,0,0
"text64",0,0,0,0
"text65",0,0,0,0
"text66",0,1,0,0
"text67",0,0,0,0
"text68",0,0,0,0
"text69",0,1,0,0
"text70",1,0,0,0
"text71",0,0,0,0
"text72",0,0,0,0
"text73",0,1,0,0
"text74",0,1,0,0
"text75",1,0,0,0
"text76",0,0,0,0
"text77",0,1,0,0
"text78",0,0,0,0
"text79",0,1,0,0
"text80",0,2,0,0
"text81",0,0,0,0
"text82",0,0,0,0
"text83",1,0,0,0
"text84",0,0,0,0
"text85",0,0,0,0
"text86",0,0,0,0
"text87",1,0,0,0
"text88",0,1,0,0
"text89",0,1,0,0
"text90",0,0,0,0
"text91",0,0,0,0
"text92",0,0,0,0
"text93",0,0,0,0
"text94",0,0,0,0
"text95",0,0,0,0
"text96",0,0,0,0
"text97",0,0,0,0
"text98",0,0,0,0
"text99",1,0,0,0
"text100",0,0,0,0
"text101",0,1,0,0
"text102",0,0,0,0
"text103",0,0,0,0
"text104",0,0,0,0
"text105",0,0,0,0
"text106",0,1,0,0
"text107",0,0,0,0
"text108",0,1,0,0
"text109",0,0,0,0
"text110",0,0,0,0
"text111",0,0,0,0
"text112",0,0,0,0
"text113",0,1,0,0
