"","negative","positive","neg_positive","neg_negative"
"text1",0,1,0,0
"text2",0,0,0,0
"text3",0,1,0,0
"text4",0,0,0,0
"text5",0,0,0,0
"text6",0,1,0,0
"text7",0,0,0,0
"text8",1,0,0,0
"text9",0,0,0,0
"text10",1,0,0,0
"text11",0,1,0,0
"text12",0,0,0,0
"text13",0,1,0,0
"text14",0,0,0,0
"text15",0,1,0,0
"text16",0,0,0,0
"text17",0,1,0,0
"text18",0,0,0,0
"text19",0,0,0,0
"text20",0,0,0,0
"text21",0,0,0,0
"text22",0,0,0,0
"text23",0,0,0,0
"text24",0,0,0,0
"text25",0,0,0,0
"text26",0,0,0,0
"text27",0,0,0,0
"text28",0,0,0,0
"text29",0,1,0,0
"text30",0,0,0,0
"text31",0,0,0,0
"text32",0,1,0,0
"text33",0,1,0,0
"text34",0,1,0,0
"text35",0,1,0,0
"text36",1,0,0,0
"text37",0,1,0,0
"text38",0,0,0,0
"text39",0,1,0,0
"text40",0,1,0,0
"text41",0,0,0,0
"text42",0,0,0,0
"text43",0,0,0,0
"text44",0,0,0,0
"text45",1,0,0,0
"text46",0,0,0,0
"text47",0,1,0,0
"text48",0,1,0,0
"text49",1,0,0,0
"text50",0,0,0,0
"text51",0,0,0,0
"text52",1,0,0,0
"text53",0,0,0,0
"text54",0,0,0,0
"text55",0,0,0,0
"text56",0,0,0,0
"text57",0,1,0,0
"text58",1,0,0,0
"text59",0,0,0,0
"text60",0,0,0,0
"text61",0,1,0,0
"text62",0,1,0,0
"text63",0,0,0,0
"text64",0,1,0,0
"text65",0,1,0,0
"text66",0,0,0,0
"text67",0,0,0,0
"text68",0,0,0,0
"text69",0,0,0,0
"text70",0,0,0,0
"text71",0,0,0,0
"text72",0,0,0,0
"text73",0,0,0,0
"text74",0,1,0,0
"text75",0,0,0,0
"text76",0,0,0,0
"text77",0,0,0,0
"text78",0,1,0,0
"text79",0,0,0,0
"text80",0,1,0,0
"text81",0,0,0,0
"text82",0,1,0,0
"text83",0,0,0,0
"text84",0,1,0,0
"text85",0,0,0,0
"text86",0,1,0,0
"text87",0,0,0,0
"text88",0,0,0,0
"text89",0,0,0,0
"text90",0,1,0,0
"text91",0,0,0,0
"text92",0,0,0,0
"text93",0,0,0,0
"text94",0,0,0,0
"text95",1,0,0,0
"text96",0,0,0,0
"text97",0,0,0,0
"text98",0,0,0,0
"text99",0,0,0,0
