word,role,gender,frequency
poor,murderer,female,2
uneasy,murderer,female,1
heavy,murderer,female,1
murder,murderer,,5
coldly,,,6
dully,murderer,female,1
grimly,,,2
interrupt,,,7
frown,,,5
lose,,,3
negative,,,2
weep,murderer,female,1
uncontrollably,murderer,female,1
cry,,,8
suspect,murderer,male,1
impatiently,murderer,,2
abashed,murderer,male,1
startled,murderer,,3
rage,murderer,male,1
incredulous,murderer,male,1
bloody,murderer,male,1
false,murderer,male,1
gravely,,male,6
wound up,murderer,male,1
take charge of,murderer,male,1
ridiculous,murderer,female,1
helplessly,murderer,female,1
screw up,murderer,female,1
faintly,murderer,female,1
ruefully,,,2
sob,murderer,female,1
unconcerned,murderer,female,1
kill,murderer,female,1
hesitate,,,5
indifferent,,,2
crazy,murderer,male,1
puzzled,,male,3
angrily,murderer,male,1
bitterly,murderer,male,1
sulky,murderer,male,1
exploit,murderer,male,1
absently,,,2
accost,murderer,female,1
crime,murderer,female,1
dark wig,murderer,female,1
sigh,,,4
ill,murderer,female,1
shake,,,3
victim,murderer,female,1
badly,murderer,female,1
horribly,murderer,male,1
coarse,murderer,male,1
grumpy,murderer,male,1
weak,murderer,male,2
stupid,murderer,male,1
tiresome,murderer,male,1
dead,murderer,,2
sly dog,murderer,male,1
limp,murderer,male,1
bewildered,,male,2
austere,murderer,male,1
gasp,murderer,male,1
in concern,murderer,male,1
robbery,murderer,male,1
deprecating,,male,2
doubtful,murderer,male,1
nervous,,,2
yawn,murderer,male,1
uncertainly,murderer,female,1
unwillingly,murderer,female,1
upset,murderer,female,1
hidden,murderer,female,1
disincline,detective,male,1
sternly,detective,,3
wince,detective,male,1
conviction,detective,male,1
blandly,detective,male,1
refuse,detective,male,1
grudge,detective,male,1
mutter,detective,male,1
sadly,detective,male,1
against,detective,male,1
affronted,detective,male,1
embarrass,detective,,2
pityingly,detective,male,1
regretfully,detective,,2
nonchalantly,detective,male,1
confess,detective,male,1
threaten,detective,male,1
fidget,detective,male,1
restless,detective,male,1
break,detective,,2
insincere,detective,male,1
absentmindedly,detective,female,1
vaguely,detective,female,1
roguishly,detective,female,1
fragile,detective,female,1
unkindly,detective,female,1
admonish,detective,female,1
avert,detective,female,1
dismiss,detective,female,1
flutter,detective,female,1
annoyance,detective,female,1


