word,role,gender,frequency
darling,murderer,,2
admit,,male,3
dear,murderer,female,2
understand,,,2
care,murderer,,2
cheerfully,murderer,female,1
gently,,,11
firmly,,female,2
correct,,female,2
safe,murderer,female,1
chuckle,,,2
strong,murderer,female,1
please,murderer,female,2
help,,,2
apologetically,detective,,5
mildly,detective,,4
polite,,,3
artistically,detective,female,1
kindly,detective,,4
earnestly,,,2
brightly,detective,female,1
gratefully,detective,female,1
active,detective,female,1
accept,detective,,3
decisively,,,3
honestly,detective,female,3
indulgently,detective,,2
assured,detective,female,1
enjoy,detective,,2
agree,,,7
appreciatively,detective,female,1
thank,detective,,2
eagerly,,male,3
grin,murderer,male,1
curiously,,male,3
generously,murderer,male,1
clever,detective,male,1
solemnly,detective,male,1
smile,,,10
sympathetically,,male,6
neatly,detective,male,2
gallantly,detective,,1
keen,,male,3
pleasure,detective,male,1
eloquent,detective,male,1
like,detective,male,1
resplendent,detective,male,1
calmly,,male,3
cautiously,,male,4
energetically,detective,male,2
great,detective,male,1
thinkful,,,13
delicately,,,2
encouragingly,detective,male,1
genially,detective,male,1
quietly,detective,,4
recover,detective,male,1
approve,,male,5
open,,,2
content,detective,male,1
greet,,male,2
compliment,detective,male,1
adopt,detective,male,1
casually,detective,male,1
forward,detective,male,1
caress,detective,male,1
affectionately,detective,male,1
allow,murderer,male,1
mellow,murderer,male,1
careful,,male,3
easily,murderer,female,1
admire,,,3
attractive,murderer,male,1
magnificent,murderer,male,1
confidently,murderer,male,1
good,murderer,male,2
beautiful,murderer,female,1
radiant,murderer,female,1
successful,murderer,female,1
discreet,murderer,,3
nice,murderer,female,1
sweetly,murderer,female,1
enthusiastic,murderer,female,1
vigorous,murderer,,3
kiss,murderer,female,1
delighted,murderer,female,1
consent,murderer,male,1
discretion,murderer,male,1
modest,,,3
extraordinary,murderer,male,1
friend,murderer,male,2
intelligent,murderer,male,1
resourceful,murderer,male,1
charm,murderer,male,1
trustworthy,murderer,male,1
tactfully,,male,2
efficient,murderer,male,1
overjoy,murderer,male,1
forgivingly,detective,male,1
intimated,detective,male,1
placidly,detective,male,1
pleasantly,detective,male,1
soothingly,detective,male,1
upright,detective,male,1
right,detective,male,1
wise,detective,male,1
smoothly,detective,male,1
tenderly,detective,male,1
flush,murderer,,2

