target,type,source
Marple,undirected,add
add,undirected,apologetically
Marple,undirected,advise
Marple,undirected,say
say,undirected,absentmindedly
say,undirected,gently
say,undirected,mildly
say,undirected,politely
say,undirected,quietly
say,undirected,questioningly
say,undirected,nervously
say,undirected,in a flurried manner
say,undirected,thinkfully
say,undirected,vaguely
Marple,undirected,press
press,undirected,the small switch
Marple,undirected,belive
Marple,undirected,blink
Marple,undirected,hover
hover,undirected,artistically
Marple,undirected,come out
Marple,undirected,come up
come up,undirected,kindly
Marple,undirected,cough
Marple,undirected,decide
Marple,undirected,draw
draw,undirected,a sheet of paper
Marple,undirected,fold
fold,undirected,the letter
Marple,undirected,hand back
Marple,undirected,give 
give,undirected,attention
Marple,undirected,inquire
Marple,undirected,know
know,undirected,the world
Marple,undirected,lean back
Marple,undirected,look round
Marple,undirected,look 
look,undirected,earnestly
Marple,undirected,make up 
make up,undirected,her mind
Marple,undirected,nod
Marple,undirected,pause
Marple,undirected,ran
Marple,undirected,read
Marple,undirected,recieve
recieved,undirected,account
Marple,undirected,remember
Marple,undirected,sat
sat,undirected,quite still
sat,undirected,knitting
Marple,undirected,scuttle out
Marple,undirected,shake
shake,undirected,her head
Marple,undirected,sighed
Marple,undirected,smile
smile,undirected,brightly
smile,undirected,a little
Marple,undirected,stepp
Marple,undirected,subside
subsided,undirected,gratefully
Marple,undirected,suggest
suggest,undirected,roguishly
Marple,undirected,think
Marple,undirected,take up
take up,undirected,the tale
Marple,undirected,take
Marple,undirected,turned
turned,undirected,her face
turned,undirected,her head
turned,undirected,to Patrick
Marple,undirected,unfold
unfold,undirected,the fragile paper
Marple,undirected,embarrassment
Marple,undirected,active







