target,type,source
Blacklog,undirected,darling
Blacklog,undirected,dearest
Blacklog,undirected,poor
Blacklog,undirected,wear 
wear,undirected, always pearl
Blacklog,undirected,became 
became,undirected,uneasy
Blacklog,undirected,began to understand
Blacklog,undirected,came
came,undirected,out
came,undirected,in
comes,undirected,along
Blacklog,undirected,bought 
bought,undirected,heavy glass
Blacklog,undirected,cared
care,undirected,about murders
Blacklog,undirected,annoyed
Blacklog,undirected,said
said,undirected,cheerfully
said,undirected,coldly
said,undirected,crisply
said,undirected,dully
said,undirected,good-humouredly
said,undirected,grimly
said,undirected,lightly
Blacklog,undirected,indicated
Blacklog,undirected,interrupted
interrupted,undirected,gently
interrupted,undirected,firmly
Blacklog,undirected,clearly outlined
Blacklog,undirected,considered
Blacklog,undirected,continued
continued,undirected,sharply
Blacklog,undirected,controlled
Blacklog,undirected,corrected
Blacklog,undirected,cried out
Blacklog,undirected,entered
Blacklog,undirected,felt
felt,undirected,safe
Blacklog,undirected,frowned
Blacklog,undirected,gave
gave,undirected,a subdued chuckle
Blacklog,undirected,goes
goes,undirected,out
Blacklog,undirected,keep
keep,undirected,much money
Blacklog,undirected,knew
Blacklog,undirected,listened
listened,undirected,with more attention
Blacklog,undirected,slightly surprised
Blacklog,undirected,lost
lost,undirected,her sister
Blacklog,undirected,negatived
negatived,undirected,quite decidedly
Blacklog,undirected,nodded
nodded,undirected,vigorously
Blacklog,undirected,obeyed
Blacklog,undirected,patted
Blacklog,undirected,wept
wept,undirected,uncontrollably
Blacklog,undirected,strong
Blacklog,undirected,pleased
Blacklog,undirected,an elderly woman
Blacklog,undirected,without relatives
Blacklog,undirected,willing to help
