target,type,source
Wargrave,undirected,bloody
Wargrave,undirected,hanging
Wargrave,undirected,allowed
Wargrave,undirected,asked
Wargrave,undirected,brought
brought,undirected,a cold eye
Wargrave,undirected,murmured
Wargrave,undirected,came in
Wargrave,undirected,sat down
Wargrave,undirected,cast back
Wargrave,undirected,remembered
Wargrave,undirected,cleared
cleared,undirected,his throat
Wargrave,undirected,closed
closed,undirected,his eyes
Wargrave,undirected,coughed
Wargrave,undirected,drew out
drew out,undirected,a letter
Wargrave,undirected,followed
Wargrave,undirected,stroked
stroked,undirected,his upper lip
stroked,undirected,gently
stroked,undirected,his chin
stroked,undirected,his jaw
stroked,undirected,his face
Wargrave,undirected,grunted
Wargrave,undirected,inquired
Wargrave,undirected,interposed
Wargrave,undirected,spoke
spoke,undirected,with authority
Wargrave,undirected,interrupted
Wargrave,undirected,knows
knows,undirected,his law
Wargrave,undirected,retired
retired,undirected,from the bench
retired,undirected,lately
Wargrave,undirected,puffed
puffed,undirected,a cigar
Wargrave,undirected,ran an interested eye
Wargrave,undirected,lifted
lifted,undirected,a hand
Wargrave,undirected,looked out
looked out,undirected,thoughtfully
Wargrave,undirected,made
made,undirected,no reply
made,undirected,some notes
Wargrave,undirected,mellowed
Wargrave,undirected,murdered
Wargrave,undirected,nodded
nodded,undirected,thoughtfully
nodded,undirected,gently
nodded,undirected,approval
nodded,undirected,his head
Wargrave,undirected,observed
Wargrave,undirected,read
Wargrave,undirected,reflected
Wargrave,undirected,removed
removed,undirected,his false teeth
removed,undirected,his garments
Wargrave,undirected,said
said,undirected,calmly
said,undirected,cautiously
said,undirected,drily
said,undirected,evenly
said,undirected,gently
said,undirected,gravely
said,undirected,in his small clear voice
said,undirected,quitely
said,undirected,sharply
said,undirected,slowly
said,undirected,suddenly
said,undirected,with a slight start
sat,undirected,huddled
sat,undirected,hunched upper
sat,undirected,in his habitual pose
Wargrave,undirected,shaved
Wargrave,undirected,dressed
Wargrave,undirected,pace up
Wargrave,undirected,pace down
Wargrave,undirected,bent down
bent down,undirected,his head
Wargrave,undirected,smiled
Wargrave,undirected,stared
Wargrave,undirected,stirred
Wargrave,undirected,turned
turned,undirected,a keen eye on 
turned,undirected,his attention to
Wargrave,undirected,took charge of 
Wargrave,undirected,waited
Wargrave,undirected,wanted
Wargrave,undirected,wound up
wound up,undirected,carefully
Wargrave,undirected,wriggled
wriggled,undirected,his tortoiselike neck
Wargrave,undirected,old



























