target,type,source
Redfern,undirected,admired
Redfern,undirected,appeared
Redfern,undirected,arrived
Redfern,undirected,called
Redfern,undirected,came down
Redfern,undirected,came
Redfern,undirected,followed
followed,undirected,closely
Redfern,undirected,went on
Redfern,undirected,attractive to women
Redfern,undirected,a magnificent swimmer
Redfern,undirected,crazy about Arlena
went on,undirected,confidently
Redfern,undirected,cried
Redfern,undirected,darling
Redfern,undirected,drop down
Redfern,undirected,dropped
Redfern,undirected,flushed
flushed,undirected,slightly
Redfern,undirected,hesitated
Redfern,undirected,laughed
Redfern,undirected,looked up
Redfern,undirected,looked slightly puzzled
Redfern,undirected,stared
stared,undirected,angrily
Redfern,undirected,shook
shook,undirected,his head decisively
Redfern,undirected,murmured
Redfern,undirected,said
said,undirected,earnestly
said,undirected,sharply
said,undirected,bitterly
said,undirected,interrupting
Redfern,undirected,fellow
Redfern,undirected,young
Redfern,undirected,standing
Redfern,undirected,was rowing
was rowing,undirected,vigorously still
Redfern,undirected,silent
Redfern,undirected,a good specimen of humanity
Redfern,undirected,smokes
Redfern,undirected,shot
shot,undirected,an inquiring glance
Redfern,undirected,thought
Redfern,undirected,looked sulky
Redfern,undirected,cares
cares,undirected,his wife
Redfern,undirected,met 
met,undirected,his eyes squarely
Redfern,undirected,exploits
exploits,undirected,women
