target,type,source
Jane,undirected,actress
Jane,undirected,beautiful
Jane,undirected,Aunt
Jane,undirected,dearest
Jane,undirected,said
said,undirected,absently
said,undirected,sentimentally
said,undirected,sharply
Jane,undirected,accosted
Jane,undirected,appeared
Jane,undirected,arrives
Jane,undirected,borrowed
Jane,undirected,came back
came back,undirected,radiant
Jane,undirected,committed
committed,undirected,a crime
committed,undirected,the murder
Jane,undirected,declares
Jane,undirected,knew
Jane,undirected,looked serious
Jane,undirected,paid no attention
Jane,undirected,picked up 
picked up,undirected,the hat
Jane,undirected,sailed 
Jane,undirected,shook
shook,undirected,her head
Jane,undirected,suggests
Jane,undirected,threw
threw,undirected,a startled glance
Jane,undirected,told
Jane,undirected,wear
wear,undirected,a dark wig
Jane,undirected,successful actress
Jane,undirected,not an ordinary murderess
