target,type,source
Poirot,undirected,said
said,undirected,absently
said,undirected,blandly
said,undirected,calmly
said,undirected,cautiously
said,undirected,decisively
said,undirected,dreamily
said,undirected,dryly
said,undirected,evenly
said,undirected,eagerly
said,undirected,encouragingly
said,undirected,genially
said,undirected,gently
said,undirected,gravely
said,undirected,smoothingly
said,undirected,sympathetically
said,undirected,quietly
said,undirected,quite undisturbed
said,undirected,simply
said,undirected,softly
said,undirected,kindly
said,undirected,meditatively
Poirot,undirected,managed
Poirot,undirected,sighed
Poirot,undirected,listened
listened,undirected,with attention and sympathy
sighed,undirected,deeply
Poirot,undirected,raised
raised,undirected,a deprecating hand
raised,undirected,his eyebrow quizzically
Poirot,undirected,rang up
Poirot,undirected,read
Poirot,undirected,recovered
Poirot,undirected,refused
Poirot,undirected,related
Poirot,undirected,remained
remained,undirected,quite serious
Poirot,undirected,thanked
Poirot,undirected,mentions
Poirot,undirected,nodded
nodded,undirected,approvingly
nodded,undirected,sympathetically
nodded,undirected,thoughtfully
Poirot,undirected,noted
Poirot,undirected,offered
Poirot,undirected,opened
Poirot,undirected,paid no attention
Poirot,undirected,paused
Poirot,undirected,promised
promised,undirected,cautiously
Poirot,undirected,picked up
Poirot,undirected,placidly content
Poirot,undirected,greeted
Poirot,undirected,grudged
Poirot,undirected,hailed
hailed,undirected,a taxi
Poirot,undirected,held up
Poirot,undirected,enjoyed
Poirot,undirected,remarked
remarked,undirected,dryly
Poirot,undirected,chuckled
Poirot,undirected,acknowledged 
acknowledged,undirected,the compliment 
acknowledged,undirected,coldly
Poirot,undirected,adopted
adopted,undirected,inert attitude
Poirot,undirected,agreed
agreed,undirected,dryly
Poirot,undirected,began
began,undirected,apologetically
began,undirected,shake with laughter
Poirot,undirected,declined
Poirot,undirected,accepted
accepted,undirected,an offer
Poirot,undirected,directed
Poirot,undirected,demanded
demanded,undirected,eagerly
Poirot,undirected,stand
Poirot,undirected,arose
Poirot,undirected,asked
asked,undirected,casually
asked,undirected,gently
asked,undirected,quickly
Poirot,undirected,beamed
Poirot,undirected,came forward
Poirot,undirected,caressed
caressed,undirected,surrepitiously
Poirot,undirected,clicked
clicked,undirected,his tongue
Poirot,undirected,closed
closed,undirected,the case
Poirot,undirected,cleared
cleared,undirected,his throat
Poirot,undirected,bent over
Poirot,undirected,bowed
Poirot,undirected,brought forward 
Poirot,undirected,bustled forward
Poirot,undirected,replied
replied,undirected,composedly
replied,undirected,with a smile
replied,undirected,in the negative
Poirot,undirected,retrieved
Poirot,undirected,rose
Poirot,undirected,considered
considered,undirected,thoughtfully
Poirot,undirected,continued
continued,undirected,dreamily
continued,undirected,shake his head
Poirot,undirected,controlled
Poirot,undirected,examined
examined,undirected,with interest
Poirot,undirected,expatiated
Poirot,undirected,explained
Poirot,undirected,muttered
Poirot,undirected,felt 
felt,undirected,astonishment
Poirot,undirected,flew off
Poirot,undirected,flung across
Poirot,undirected,folded back
Poirot,undirected,frowned
Poirot,undirected,gave up
Poirot,undirected,gazed
gazed,undirected,mildly
gazed,undirected,sadly
Poirot,undirected,hesitated
Poirot,undirected,hurried up
Poirot,undirected,sat down
Poirot,undirected,sat up
sat up,undirected,immediatly
sat down,undirected,immediatly
Poirot,undirected,waved
Poirot,undirected,wore
wore,undirected,a puzzled expresson
Poirot,undirected,watched
watched,undirected,intently
Poirot,undirected,walked
Poirot,undirected,uttered
uttered,undirected,a low cry
Poirot,undirected,threw
threw,undirected,his head back
threw,undirected,a glance of reproof
Poirot,undirected,swallowed
Poirot,undirected,suggested
Poirot,undirected,stared
Poirot,undirected,stepped forward
Poirot,undirected,sprang out
Poirot,undirected,spoke
spoke,undirected,almost humbly
Poirot,undirected,stuck
Poirot,undirected,smiled
smiled,undirected,affectionately
smiled,undirected,forgivingly
Poirot,undirected,leaned against
Poirot,undirected,laughed
laughed,undirected,gently
Poirot,undirected,laid down
Poirot,undirected,looked modest
Poirot,undirected,looked affronted
Poirot,undirected,intimated
Poirot,undirected,indicated































