target,type,source
Sheppard,undirected,horribly American
Sheppard,undirected,coarse
Sheppard,undirected,self-contained
Sheppard,undirected,grumpy
Sheppard,undirected,consented
Sheppard,undirected,very loyal
Sheppard,undirected,a model of discretion
Sheppard,undirected,weak as water
Sheppard,undirected,kind
Sheppard,undirected,modest
Sheppard,undirected,an extraordinary creature
Sheppard,undirected,laughed at
Sheppard,undirected,a friend of Captain Paton's
Sheppard,undirected,attended
Sheppard,undirected,stupid
Sheppard,undirected,tiresome
Sheppard,undirected,sit
sit,undirected,like a dead head
Sheppard,undirected,weak
Sheppard,undirected,contributed
contributed,undirected,information
Sheppard,undirected,sly dog
Sheppard,undirected,said
said,undirected,nothing
said,undirected,dryly
Sheppard,undirected,accompanied
Sheppard,undirected,a close friend of Roger's
Sheppard,undirected,not gave up
Sheppard,undirected,listened
Sheppard,undirected,discreet

