target,type,source
Franklin,undirected,admitted
Franklin,undirected,demurred
Franklin,undirected,cried
Franklin,undirected,turned to 
turned to,undirected,eagerly
Franklin,undirected,explained
Franklin,undirected,absorbed
Franklin,undirected,arrived
Franklin,undirected,grin
Franklin,undirected,suspect
Franklin,undirected,bronzed
Franklin,undirected,talkative
Franklin,undirected,brought
Franklin,undirected,came out
Franklin,undirected,came over
Franklin,undirected,said
said,undirected,drily
said,undirected,impatiently
said,undirected,curiously
said,undirected,quitely
said,undirected,thoughtfully
Franklin,undirected,gave
Franklin,undirected,suggested
gave,undirected,very generously
Franklin,undirected,glanced over
Franklin,undirected,got rather red
Franklin,undirected,interrupted
Franklin,undirected,looked abashed
Franklin,undirected,looked startled
Franklin,undirected,purple with rage
Franklin,undirected,repeated
Franklin,undirected,resumed
resumed,undirected,his ordinary manner
Franklin,undirected,rose
Franklin,undirected,sat
sat,undirected,quite still
Franklin,undirected,seemed incredulous
Franklin,undirected,shook
shook,undirected,his head
shook,undirected,hands with
Franklin,undirected,stared
Franklin,undirected,stow away
stow away,undirected,the letter
Franklin,undirected,burst out laughing
burst out laughing,undirected,suddenly
