target,type,source
Poirot,undirected,acknowledged
Poirot,undirected,agreed
Poirot,undirected,clever
Poirot,undirected,commented
Poirot,undirected,conceded
Poirot,undirected,continued
Poirot,undirected,demanded
Poirot,undirected,murmured
Poirot,undirected,ordered
Poirot,undirected,added
Poirot,undirected,answered
Poirot,undirected,asked
Poirot,undirected,beamed
Poirot,undirected,betook himself
Poirot,undirected,said
said,undirected,briskly
said,undirected,dryly
said,undirected,gently
said,undirected,grimly
said,undirected,helpfully
said,undirected,solemnly
said,undirected,thoughtfully
said,undirected,quickly
said,undirected,indifferently
Poirot,undirected,suggested
Poirot,undirected,handed back
Poirot,undirected,handed over
Poirot,undirected,glanced
Poirot,undirected,experienced
Poirot,undirected,called
Poirot,undirected,caught upon
Poirot,undirected,closed
Poirot,undirected,coughed
Poirot,undirected,disinclined
disinclined,undirected,curiously
Poirot,undirected,directed
Poirot,undirected,explains
Poirot,undirected,gave
Poirot,undirected,silenced
Poirot,undirected,sit
sit,undirected,in a chair
Poirot,undirected,slipped in
Poirot,undirected,smiled
smiled,undirected,sympathetically
smiled,undirected,a little
Poirot,undirected,spread out
Poirot,undirected,started out 
Poirot,undirected,returned
returned,undirected,sternly
Poirot,undirected,turned
turned,undirected,slowly
Poirot,undirected,stopped
Poirot,undirected,threw
threw,undirected,a glanced
Poirot,undirected,told
Poirot,undirected,twinkle
Poirot,undirected,very busy
Poirot,undirected,waved
Poirot,undirected,winced
Poirot,undirected,prompted
Poirot,undirected,remarked
Poirot,undirected,repeated
Poirot,undirected,thought




















