target,type,source
Marina,undirected,handed over
handed over,undirected,her drink
Marina,undirected,hesitated
Marina,undirected,said
said,undirected,impatiently
said,undirected,quickly
said,undirected,nice things
said,undirected,some pretty things
said,undirected,sweetly
said,undirected,in an enthusiastic voice
said,undirected,in a soft voice
Marina,undirected,sighed
sighed,undirected,softly
Marina,undirected,laughed
Marina,undirected,opened
opened,undirected,wide surprised eyes
opened,undirected,big garden party
Marina,undirected,put down
put down,undirected,her glass
Marina,undirected,react
react,undirected,so late
Marina,undirected,received
received,undirected,guests
received,undirected,Craddock
Marina,undirected,sat up
sat up,undirected,with a sudden vigorous movement
Marina,undirected,feel
feel,undirected,suddenly ill
Marina,undirected,shake
shake,undirected,hands
shake,undirected,her head
Marina,undirected,smiled
Marina,undirected,looked pleased
Marina,undirected,surprised
Marina,undirected,turned away
Marina,undirected,turned
turned,undirected,to him
Marina,undirected,poor
Marina,undirected,asked
asked,undirected,very sweetly
asked,undirected,delicately
Marina,undirected,a nymphomaniac
Marina,undirected,kissed
Marina,undirected,delighted
Marina,undirected,startled
Marina,undirected,frightened
Marina,undirected,the intended victim
Marina,undirected,treated
treated,undirected,badly









