target,type,source
Marple,undirected,accepted
Marple,undirected,said
said,undirected,admiringly
said,undirected,apologetically
said,undirected,coldly
said,undirected,firmly
said,undirected,decisively
said,undirected,gently
said,undirected,honestly
said,undirected,indulgently
said,undirected,meditatively
said,undirected,unexpectedly
said,undirected,unkindly
said,undirected,softly
said,undirected,surprised
said,undirected,thoughtfully
said,undirected,reproving
said,undirected,regretfully
said,undirected,reflectively
said,undirected,slowly
Marple,undirected,remain
remain,undirected,sitting thoughtfully
Marple,undirected,replied
Marple,undirected,demanded
demanded,undirected,surprised
Marple,undirected,admonished
Marple,undirected,asked
asked,undirected,sternly
asked,undirected,with interest
Marple,undirected,assured
Marple,undirected,averted
Marple,undirected,enjoyed
enjoyed,undirected,her breakfast
Marple,undirected,broke in
broke in,undirected,incisively
Marple,undirected,called
called,undirected,in a high clear voice
called,undirected,after him
Marple,undirected,clicked
Marple,undirected,considered
Marple,undirected,contemplated
Marple,undirected,corrected
corrected,undirected,gently
Marple,undirected,cut off
Marple,undirected,dismissed
Marple,undirected,dressed
Marple,undirected,drew a deep breath
Marple,undirected,estimated
Marple,undirected,agreed
agreed,undirected,fervently
Marple,undirected,fluttered
Marple,undirected,followed
Marple,undirected,frowned
Marple,undirected,exclaimed
Marple,undirected,ensconced
Marple,undirected,remove
remove,undirected,quietly
Marple,undirected,murmured
murmured,undirected,modestly
Marple,undirected,nodded
nodded,undirected,appreciatively
nodded,undirected,gently
Marple,undirected,objected
Marple,undirected,twinkled
twinkled,undirected,very slightly
Marple,undirected,uttered
uttered,undirected,a sharp exclamation of annoyance
Marple,undirected,visualized
Marple,undirected,patient
Marple,undirected,sounded
sounded,undirected,alert
Marple,undirected,showed
Marple,undirected,spoke
Marple,undirected,stared
Marple,undirected,thanked
Marple,undirected,started
started,undirected,immediately
Marple,undirected,agreeable

























