target,type,source
Knighton,undirected,asked
asked,undirected,curiously
Knighton,undirected,walked
walked,undirected,with limp
Knighton,undirected,cried
Knighton,undirected,a good fellow
Knighton,undirected,a complete outsider
Knighton,undirected,approach
Knighton,undirected,arrived
Knighton,undirected,bewildered
Knighton,undirected,obedient
Knighton,undirected,followed
Knighton,undirected,blushed
Knighton,undirected,came back
Knighton,undirected,cleared throat
Knighton,undirected,complied
Knighton,undirected,conversed
Knighton,undirected,drew a deep breath
Knighton,undirected,said
said,undirected,dryly
said,undirected,hotly
said,undirected,slowly
said,undirected,smiling
said,undirected,unemotionally
said,undirected,with keen attention
said,undirected,with a smile
said,undirected,with dignity
said,undirected,with an austere politeness
Knighton,undirected,smiled
smiled,undirected,a little
smiled,undirected,sympathetically
Knighton,undirected,made no reply
Knighton,undirected,drops off
Knighton,undirected,entered
Knighton,undirected,exchanged glances
Knighton,undirected,gave a gasp
Knighton,undirected,greeted
Knighton,undirected,quick
Knighton,undirected,intelligent
Knighton,undirected,resourceful
Knighton,undirected,distinct charm of manner
Knighton,undirected,rose
rose,undirected,in concern
Knighton,undirected,threw glances
Knighton,undirected,talked
talked,undirected,a jewel robbery
Knighton,undirected,joined
Knighton,undirected,kind
Knighton,undirected,trustworthy
Knighton,undirected,laughed
Knighton,undirected,left
Knighton,undirected,listened
listened,undirected,politely
Knighton,undirected,looked a little puzzled
Knighton,undirected,looked at
looked at,undirected,in astonishment
looked at,undirected,in some surprise
Knighton,undirected,interpreted
Knighton,undirected,made a deprecating gesture
Knighton,undirected,mentioned
Knighton,undirected,percieved
Knighton,undirected,remained sympathetically silent
Knighton,undirected,retired
retired,undirected,discreetly
Knighton,undirected,roll up the body
Knighton,undirected,shot a swift glance
Knighton,undirected,spoke
spoke,undirected,French like a Frenchman
Knighton,undirected,sprang
Knighton,undirected,looked slightly doubtful
Knighton,undirected,bent over
bent over,undirected,assiduously
Knighton,undirected,stood staring
Knighton,undirected,told
Knighton,undirected,turned away
turned away,undirected,tactfully
Knighton,undirected,careful
Knighton,undirected,at a loss
Knighton,undirected,efficient
Knighton,undirected,her murderer
Knighton,undirected,nervous
Knighton,undirected,overjoyed
Knighton,undirected,went on
Knighton,undirected,went down
Knighton,undirected,yawned
Knighton,undirected,murmured
Knighton,undirected,mused
Knighton,undirected,objected
Knighton,undirected,observed
Knighton,undirected,young
Knighton,undirected,whispered




















