target,type,source
Mason,undirected,agreed
Mason,undirected,roll up the body
Mason,undirected,stood uncertainly
Mason,undirected,maid
Mason,undirected,arranged
arranged,undirected,her mistress' body
Mason,undirected,folded up 
folded up,undirected,the dead woman's clothes
Mason,undirected,changed
change,undirected,herself into a man's clothes
Mason,undirected,arrived
Mason,undirected,said
said,undirected,unwillingly
Mason,undirected,came
Mason,undirected,dressed
dressed,undirected,in her mistress' very distinctive clothing
Mason,undirected,entered
Mason,undirected,finished up
finished up,undirected,discreet cough
Mason,undirected,gave
gave,undirected,discreet cough
Mason,undirected,reflected
Mason,undirected,retired
retired,undirected,discreetly
Mason,undirected,a little flurried
Mason,undirected,set to work
Mason,undirected,shook
shook,undirected,her head
Mason,undirected,clearly upset
Mason,undirected,hidden in
Mason,undirected,went out
went out,undirected,escorted







