"source","negative","positive","neg_positive","neg_negative"
"got up",0,0,0,0
"abruptly",0,0,0,0
"dressed",0,0,0,0
"arrived",0,0,0,0
"asked",0,0,0,0
"in her quiet voice",0,0,0,0
"burst into speech",0,0,0,0
"came down",0,0,0,0
"came up",0,0,0,0
"mounted the steps",0,0,0,0
"arranged",0,0,0,0
"easily",0,1,0,0
"entered the room",0,0,0,0
"exclaimed",0,0,0,0
"flushed",0,1,0,0
"frowned",1,0,0,0
"glanced up",0,0,0,0
"got up",0,0,0,0
"got in",0,0,0,0
"laughed",0,0,0,0
"shortly",0,0,0,0
"looked round",0,0,0,0
"different",0,0,0,0
"real",0,0,0,0
"ridiculous",1,0,0,0
"helplessly",1,0,0,0
"murmured",0,0,0,0
"nodded",0,0,0,0
"paused",0,0,0,0
"picks up",0,0,0,0
"played a part",0,0,0,0
"reflected",0,0,0,0
"screwed up",1,0,0,0
"her eyes",0,0,0,0
"sketched",0,0,0,0
"shook",0,0,0,0
"her head",0,0,0,0
"smiled",0,1,0,0
"faintly",1,0,0,0
"ruefully",1,0,0,0
"sobbed",1,0,0,0
"spoke",0,0,0,0
"coldly",1,0,0,0
"sharply",0,0,0,0
"very little",0,0,0,0
"sprang",0,0,0,0
"lightly",0,0,0,0
"stared",0,0,0,0
"takes the hat",0,0,0,0
"ran across",0,0,0,0
"unconcerned",1,0,0,0
"wanted to kill",1,0,0,0
"worked on her",0,0,0,0
"said",0,0,0,0
"rather sharply",0,0,0,0
"hesitated",1,0,0,0
"stopped",0,0,0,0
"wife",0,0,0,0
"a school teacher",0,0,0,0
"standing in Linda's room",0,0,0,0
"a most indifferent artist",1,0,0,0
