"source","negative","positive","neg_positive","neg_negative"
"actress",0,0,0,0
"beautiful",0,1,0,0
"Aunt",0,0,0,0
"dearest",0,1,0,0
"said",0,0,0,0
"absently",1,0,0,0
"sentimentally",0,0,0,0
"sharply",0,0,0,0
"accosted",1,0,0,0
"appeared",0,0,0,0
"arrives",0,0,0,0
"borrowed",0,0,0,0
"came back",0,0,0,0
"radiant",0,1,0,0
"committed",0,0,0,0
"a crime",1,0,0,0
"the murder",1,0,0,0
"declares",0,0,0,0
"knew",0,0,0,0
"looked serious",0,0,0,0
"paid no attention",0,0,0,0
"picked up ",0,0,0,0
"the hat",0,0,0,0
"sailed ",0,0,0,0
"shook",0,0,0,0
"her head",0,0,0,0
"suggests",0,0,0,0
"threw",0,0,0,0
"a startled glance",1,0,0,0
"told",0,0,0,0
"wear",0,0,0,0
"a dark wig",1,0,0,0
"successful actress",0,1,0,0
"not an ordinary murderess",1,0,0,0
