"","negative","positive","neg_positive","neg_negative"
"text1",0,0,0,0
"text2",0,1,0,0
"text3",0,0,0,0
"text4",0,1,0,0
"text5",0,0,0,0
"text6",1,0,0,0
"text7",0,0,0,0
"text8",0,0,0,0
"text9",1,0,0,0
"text10",0,0,0,0
"text11",0,0,0,0
"text12",0,0,0,0
"text13",0,0,0,0
"text14",0,1,0,0
"text15",0,0,0,0
"text16",1,0,0,0
"text17",1,0,0,0
"text18",0,0,0,0
"text19",0,0,0,0
"text20",0,0,0,0
"text21",0,0,0,0
"text22",0,0,0,0
"text23",0,0,0,0
"text24",0,0,0,0
"text25",0,0,0,0
"text26",0,0,0,0
"text27",0,0,0,0
"text28",0,0,0,0
"text29",1,0,0,0
"text30",0,0,0,0
"text31",0,0,0,0
"text32",1,0,0,0
"text33",0,1,0,0
"text34",1,0,0,0
