"","negative","positive","neg_positive","neg_negative"
"text1",0,0,0,0
"text2",1,0,0,0
"text3",1,0,0,0
"text4",0,1,0,0
"text5",0,1,0,0
"text6",0,1,0,0
"text7",0,0,0,0
"text8",0,0,0,0
"text9",0,0,0,0
"text10",0,1,0,0
"text11",0,1,0,0
"text12",0,1,0,0
"text13",0,1,0,0
"text14",1,0,0,0
"text15",0,0,0,0
"text16",0,1,0,0
"text17",0,1,0,0
"text18",0,0,0,0
"text19",0,0,0,0
"text20",0,0,0,0
"text21",0,1,0,0
"text22",0,0,0,0
"text23",0,0,0,0
"text24",1,0,0,0
"text25",0,0,0,0
"text26",0,1,0,0
"text27",0,0,0,0
"text28",0,0,0,0
"text29",1,0,0,0
"text30",0,0,0,0
"text31",0,0,0,0
"text32",0,0,0,0
"text33",0,1,0,0
"text34",1,0,0,0
"text35",0,0,0,0
"text36",0,0,0,0
"text37",0,0,0,0
"text38",0,1,0,0
"text39",0,0,0,0
"text40",0,0,0,0
"text41",0,1,0,0
"text42",0,1,0,0
"text43",0,1,0,0
"text44",0,0,0,0
"text45",0,0,0,0
"text46",0,1,0,0
"text47",0,0,0,0
"text48",0,0,0,0
"text49",0,0,0,0
"text50",0,1,0,0
"text51",0,0,0,0
"text52",0,1,0,0
"text53",0,1,0,0
"text54",1,0,0,0
"text55",0,0,0,0
"text56",0,0,0,0
"text57",0,0,0,0
"text58",0,1,0,0
"text59",0,0,0,0
"text60",0,0,0,0
"text61",0,1,0,0
"text62",0,0,0,0
"text63",0,1,0,0
"text64",1,0,0,0
"text65",0,1,0,0
"text66",0,0,0,0
"text67",0,1,0,0
"text68",0,0,0,0
"text69",0,0,0,0
"text70",0,1,0,0
"text71",1,0,0,0
"text72",0,0,0,0
"text73",0,1,0,0
"text74",0,0,0,0
"text75",0,0,0,0
"text76",0,0,0,0
"text77",0,1,0,0
"text78",0,0,0,0
"text79",0,0,0,0
"text80",0,0,0,0
"text81",0,1,0,0
"text82",0,1,0,0
"text83",0,0,0,0
"text84",0,0,0,0
"text85",0,1,0,0
"text86",0,1,0,0
"text87",0,0,0,0
"text88",0,0,0,0
"text89",0,0,0,0
"text90",0,0,0,0
"text91",0,0,0,0
"text92",0,1,0,0
"text93",0,0,0,0
"text94",0,0,0,0
"text95",0,0,0,0
"text96",0,1,0,0
"text97",0,1,0,0
"text98",0,0,0,0
"text99",0,0,0,0
"text100",0,1,0,0
"text101",1,0,0,0
"text102",0,0,0,0
"text103",0,0,0,0
"text104",0,0,0,0
"text105",0,1,0,0
"text106",0,0,0,0
"text107",0,0,0,0
"text108",1,0,0,0
"text109",0,0,0,0
"text110",0,0,0,0
"text111",0,0,0,0
"text112",0,0,0,0
"text113",0,0,0,0
"text114",1,0,0,0
"text115",0,0,0,0
"text116",0,0,0,0
"text117",0,0,0,0
"text118",0,0,0,0
"text119",0,0,0,0
"text120",1,0,0,0
"text121",0,0,0,0
"text122",0,0,0,0
"text123",0,1,0,0
"text124",1,0,0,0
"text125",1,0,0,0
"text126",0,0,0,0
"text127",0,0,0,0
"text128",0,0,0,0
"text129",0,0,0,0
"text130",0,0,0,0
"text131",0,0,0,0
"text132",0,0,0,0
"text133",1,0,0,0
"text134",0,0,0,0
"text135",0,0,0,0
"text136",0,0,0,0
"text137",0,0,0,0
"text138",1,0,0,0
"text139",0,0,0,0
"text140",0,0,0,0
"text141",0,0,0,0
"text142",0,0,0,0
"text143",0,0,0,0
"text144",0,0,0,0
"text145",0,1,0,0
"text146",0,0,0,0
"text147",0,0,0,0
"text148",0,0,0,0
"text149",0,0,0,0
"text150",0,1,0,0
"text151",0,1,0,0
"text152",0,1,0,0
"text153",1,0,0,0
"text154",0,0,0,0
"text155",0,1,0,0
"text156",0,0,0,0
"text157",0,1,0,0
"text158",1,0,0,0
"text159",0,1,0,0
"text160",0,0,0,0
