"source","negative","positive","neg_positive","neg_negative"
"acknowledged",0,0,0,0
"agreed",0,1,0,0
"clever",0,1,0,0
"commented",0,0,0,0
"conceded",0,0,0,0
"continued",0,0,0,0
"demanded",0,0,0,0
"murmured",0,0,0,0
"ordered",0,0,0,0
"added",0,0,0,0
"answered",0,0,0,0
"asked",0,0,0,0
"beamed",0,0,0,0
"betook himself",0,0,0,0
"said",0,0,0,0
"briskly",0,0,0,0
"dryly",0,0,0,0
"gently",0,1,0,0
"grimly",1,0,0,0
"helpfully",0,1,0,0
"solemnly",0,1,0,0
"thoughtfully",0,1,0,0
"quickly",0,0,0,0
"indifferently",1,0,0,0
"suggested",0,0,0,0
"handed back",0,0,0,0
"handed over",0,0,0,0
"glanced",0,0,0,0
"experienced",0,0,0,0
"called",0,0,0,0
"caught upon",0,0,0,0
"closed",0,0,0,0
"coughed",0,0,0,0
"disinclined",1,0,0,0
"curiously",0,1,0,0
"directed",0,0,0,0
"explains",0,0,0,0
"gave",0,0,0,0
"silenced",0,0,0,0
"sit",0,0,0,0
"in a chair",0,0,0,0
"slipped in",0,0,0,0
"smiled",0,1,0,0
"sympathetically",0,1,0,0
"a little",0,0,0,0
"spread out",0,0,0,0
"started out ",0,0,0,0
"returned",0,0,0,0
"sternly",1,0,0,0
"turned",0,0,0,0
"slowly",0,0,0,0
"stopped",0,0,0,0
"threw",0,0,0,0
"a glanced",0,0,0,0
"told",0,0,0,0
"twinkle",0,0,0,0
"very busy",0,0,0,0
"waved",0,0,0,0
"winced",1,0,0,0
"prompted",0,0,0,0
"remarked",0,0,0,0
"repeated",0,0,0,0
"thought",0,0,0,0
