"source","negative","positive","neg_positive","neg_negative"
"agreed",0,1,0,0
"roll up the body",0,0,0,0
"stood uncertainly",1,0,0,0
"maid",0,0,0,0
"arranged",0,0,0,0
"her mistress' body",0,0,0,0
"folded up ",0,0,0,0
"the dead woman's clothes",1,0,0,0
"changed",0,0,0,0
"herself into a man's clothes",0,0,0,0
"arrived",0,0,0,0
"said",0,0,0,0
"unwillingly",1,0,0,0
"came",0,0,0,0
"dressed",0,0,0,0
"in her mistress' very distinctive clothing",0,0,0,0
"entered",0,0,0,0
"finished up",0,0,0,0
"discreet cough",0,1,0,0
"gave",0,0,0,0
"discreet cough",0,1,0,0
"reflected",0,0,0,0
"retired",0,0,0,0
"discreetly",0,1,0,0
"a little flurried",0,0,0,0
"set to work",0,0,0,0
"shook",0,0,0,0
"her head",0,0,0,0
"clearly upset",1,0,0,0
"hidden in",1,0,0,0
"went out",0,0,0,0
"escorted",0,0,0,0
